# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:EB                     7:TB                     8:phiphi                 9:TPhi                  10:Ephi               
  104       3.807330741367e-10       1.112527719309e-13      -3.459231772629e-12       4.490965999756e-16      -1.001830342574e-15       1.763159025527e-14       8.948378248174e-12       1.324719971137e-12      -6.868579926407e-15 
  105       3.850738806562e-10       1.131436383424e-13      -3.547848568428e-12       4.580577994329e-16      -1.027196062319e-15       1.863385131101e-14       8.724779334492e-12       1.298829425575e-12      -6.801413922702e-15 
  106       3.894379651352e-10       1.150063417795e-13      -3.636226952750e-12       4.671185456855e-16      -1.052697594589e-15       1.965779106799e-14       8.507942977514e-12       1.273643008980e-12      -6.733256600927e-15 
  107       3.938250716389e-10       1.168390975091e-13      -3.724296242137e-12       4.762794509733e-16      -1.078319144962e-15       2.070309313012e-14       8.297858148721e-12       1.249160064026e-12      -6.664274968857e-15 
  108       3.982348322431e-10       1.186401213841e-13      -3.811985016998e-12       4.855411445935e-16      -1.104044381145e-15       2.176941234640e-14       8.094464836049e-12       1.225374278758e-12      -6.594639598205e-15 
  109       4.026667627984e-10       1.204076308141e-13      -3.899221146537e-12       4.949042731750e-16      -1.129856427382e-15       2.285637431223e-14       7.897652415363e-12       1.202273496473e-12      -6.524524576314e-15 
  110       4.071202586947e-10       1.221398457354e-13      -3.985931813681e-12       5.043695009523e-16      -1.155737858863e-15       2.396357487070e-14       7.707258021918e-12       1.179839525602e-12      -6.454107457832e-15 
  111       4.115945906247e-10       1.238349895816e-13      -4.072043540007e-12       5.139375100402e-16      -1.181670696130e-15       2.509057961387e-14       7.523064921832e-12       1.158047949584e-12      -6.383569216402e-15 
  112       4.160889003484e-10       1.254912902541e-13      -4.157482210673e-12       5.236090007076e-16      -1.207636399485e-15       2.623692338403e-14       7.344800883550e-12       1.136867936749e-12      -6.313094196342e-15 
  113       4.206021964574e-10       1.271069810922e-13      -4.242173099341e-12       5.333846916520e-16      -1.233615863401e-15       2.740210977502e-14       7.172136549315e-12       1.116262050194e-12      -6.242870064330e-15 
  114       4.251333501382e-10       1.286803018436e-13      -4.326040893111e-12       5.432653202738e-16      -1.259589410925e-15       2.858561063350e-14       7.004683806638e-12       1.096186057665e-12      -6.173087761088e-15 
  115       4.296810909374e-10       1.302094996349e-13      -4.409009717446e-12       5.532516429501e-16      -1.285536788089e-15       2.978686556022e-14       6.841994159759e-12       1.076588741434e-12      -6.103941453067e-15 
  116       4.342441771464e-10       1.316928776338e-13      -4.491003870251e-12       5.633444130071e-16      -1.311437611175e-15       3.100529255688e-14       6.683657095874e-12       1.057423573107e-12      -6.035588574712e-15 
  117       4.388219395166e-10       1.331289456741e-13      -4.571950072074e-12       5.735443110085e-16      -1.337272782146e-15       3.224032250141e-14       6.529612233233e-12       1.038685754841e-12      -5.968024547168e-15 
  118       4.434137960032e-10       1.345162898512e-13      -4.651775537573e-12       5.838520064671e-16      -1.363023235607e-15       3.349136794721e-14       6.379872242877e-12       1.020379345584e-12      -5.901192666099e-15 
  119       4.480190803962e-10       1.358535278460e-13      -4.730407321699e-12       5.942681794647e-16      -1.388669499771e-15       3.475781195686e-14       6.234425513367e-12       1.002505714821e-12      -5.835022251377e-15 
  120       4.526370396286e-10       1.371393103166e-13      -4.807772350903e-12       6.047935207293e-16      -1.414191694872e-15       3.603900770189e-14       6.093235406382e-12       9.850634573627e-13      -5.769428245896e-15 
  121       4.572668310840e-10       1.383723222908e-13      -4.883797454323e-12       6.154287317124e-16      -1.439569531579e-15       3.733427806270e-14       5.956239512312e-12       9.680483081268e-13      -5.704310814384e-15 
  122       4.619075199050e-10       1.395512845578e-13      -4.958409394992e-12       6.261745246659e-16      -1.464782309409e-15       3.864291522828e-14       5.823348905855e-12       9.514530569271e-13      -5.639554942225e-15 
  123       4.665580763012e-10       1.406749550605e-13      -5.031534901028e-12       6.370316227189e-16      -1.489808915131e-15       3.996418029615e-14       5.694447401609e-12       9.352674632571e-13      -5.575030034270e-15 
