sim_num,gMpl,gMpl_std,aplusb_b95,aplusb_b95_std,aplusb_k95,aplusb_k95_std,aplusb_150,aplusb_150_std,aplusb_220,aplusb_220_std,aplusb_b95ext,aplusb_b95ext_std,chisq
129,-1.239,0.698,0.295,0.192,-0.067,0.255,0.094,0.209,0.595,0.258,0.317,0.192,94.432
130,0.889,0.712,-0.155,0.204,0.09,0.266,-0.225,0.209,0.331,0.272,-0.168,0.196,47.616
131,0.877,0.695,-0.263,0.197,-0.559,0.242,-0.368,0.204,0.117,0.245,-0.269,0.192,76.015
132,2.953,0.667,-0.966,0.19,-0.766,0.252,-0.775,0.199,-0.63,0.26,-0.906,0.187,59.528
133,-2.129,0.711,0.614,0.201,0.178,0.236,0.573,0.203,0.103,0.259,0.57,0.205,83.301
134,0.041,0.733,0.106,0.205,0.527,0.27,0.023,0.216,0.374,0.275,0.09,0.207,69.466
135,2.704,0.68,-0.722,0.19,-0.848,0.246,-0.778,0.2,-0.418,0.253,-0.755,0.194,89.091
136,0.758,0.705,-0.092,0.197,-0.078,0.251,-0.118,0.209,-0.431,0.264,-0.12,0.196,64.576
137,1.771,0.697,-0.653,0.196,-0.546,0.254,-0.602,0.204,-0.557,0.26,-0.584,0.196,98.992
138,-1.682,0.696,0.417,0.202,0.682,0.254,0.326,0.203,0.46,0.261,0.43,0.195,28.52
139,0.501,0.651,-0.128,0.188,-0.227,0.248,0.077,0.19,0.068,0.245,-0.132,0.185,66.222
140,-0.314,0.628,0.079,0.178,0.606,0.243,0.146,0.189,-0.049,0.258,0.075,0.18,51.898
141,-1.28,0.693,0.275,0.196,0.192,0.241,0.278,0.208,0.447,0.26,0.3,0.197,43.892
